Monaco,86.75
San Marino,84.97
Hong Kong,84.86
Japan,84.63
Macao,84.24
Cayman Islands,83.92
Switzerland,83.78
Andorra,83.73
Singapore,83.62
Spain,83.56
Italy,83.51
Australia,83.44
South Korea,83.03
Iceland,82.99
Israel,82.97
Sweden,82.8
France,82.66
Bermuda,82.59
Malta,82.53
Liechtenstein,82.49
Canada,82.43
Norway,82.4
Ireland,82.3
New Zealand,82.29
Netherlands,82.28
Luxembourg,82.25
Greece,82.24
Portugal,82.05
Finland,81.91
Anguilla,81.88
Tokelau,81.86
Belgium,81.63
Austria,81.54
Falkland Islands,81.44
Isle of Man,81.4
Germany,81.33
Slovenia,81.32
United Kingdom,81.32
Saint Pierre and Miquelon,81.07
Cyprus,80.98
Denmark,80.9
Faeroe Islands,80.67
Saint Helena,80.56
Taiwan,80.46
Costa Rica,80.28
Qatar,80.23
Turks and Caicos Islands,80.22
Chile,80.18
Wallis and Futuna,79.94
Gibraltar,79.93
Czechia,79.38
Barbados,79.19
British Virgin Islands,79.07
Sint Maarten (Dutch part),78.95
Lebanon,78.93
Maldives,78.92
Curacao,78.88
United States,78.86
Cuba,78.8
Estonia,78.74
Poland,78.73
Albania,78.57
Panama,78.51
Croatia,78.49
United Arab Emirates,77.97
Uruguay,77.91
Oman,77.86
Bonaire Sint Eustatius and Saba,77.79
Turkey,77.69
French Polynesia,77.66
New Caledonia,77.55
Slovakia,77.54
Bosnia and Herzegovina,77.4
Bahrain,77.29
Colombia,77.29
Thailand,77.15
Antigua and Barbuda,77.02
Ecuador,77.01
Sri Lanka,76.98
China,76.91
Algeria,76.88
Montenegro,76.88
Hungary,76.88
Peru,76.74
Tunisia,76.7
Iran,76.68
Morocco,76.68
Argentina,76.67
Aruba,76.29
Cook Islands,76.25
Saint Kitts and Nevis,76.23
Saint Lucia,76.2
Malaysia,76.16
Romania,76.05
Serbia,76
Lithuania,75.93
Brazil,75.88
Brunei,75.86
North Macedonia,75.8
Kuwait,75.49
Vietnam,75.4
Latvia,75.29
Honduras,75.27
Saudi Arabia,75.13
Vatican,75.12
Armenia,75.09
Bulgaria,75.05
Mexico,75.05
Dominica,75
Mauritius,74.99
Belarus,74.79
Belize,74.62
Jordan,74.53
Nicaragua,74.48
Jamaica,74.47
Guatemala,74.3
Paraguay,74.25
Montserrat,74.16
Dominican Republic,74.08
Palestine,74.05
Bahamas,73.92
Georgia,73.77
Niue,73.71
Palau,73.7
Marshall Islands,73.7
Kazakhstan,73.6
Trinidad and Tobago,73.51
Seychelles,73.4
El Salvador,73.32
Samoa,73.32
Azerbaijan,73
Solomon Islands,73
Cape Verde,72.98
Libya,72.91
Syria,72.7
Bangladesh,72.59
World,72.58
Russia,72.58
Saint Vincent and the Grenadines,72.53
Grenada,72.4
Ukraine,72.06
Venezuela,72.06
Egypt,71.99
Moldova,71.9
Bhutan,71.78
Uzbekistan,71.72
Indonesia,71.72
Greenland,71.7
Suriname,71.68
Bolivia,71.51
Kyrgyzstan,71.45
Philippines,71.23
Tajikistan,71.1
